[INFO] [1780926965.470687148] [py_dashboard_cli]: Power mode response: Mode NORMAL déjà actif.
[INFO] [1780926965.471297294] [py_dashboard_cli]: Cleaning response: Impossible d'arrêter, statut actuel : IDLE
[INFO] [1780927109.220211453] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927110.220780495] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927111.221044353] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927112.220522834] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927113.221039250] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927114.220744701] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927115.220607672] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927116.220195482] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927117.220762179] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927118.220256985] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927119.221078135] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927120.220233707] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927121.220811573] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927122.221025917] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927123.220307987] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927124.220252948] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927125.221112106] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927126.220656578] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927127.220547061] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927128.220831369] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927129.220164201] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927130.220946857] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927131.220609381] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927132.220521684] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927133.220675532] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927134.220132856] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927135.221006042] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927136.220565454] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927137.220852576] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927138.220028193] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927139.220404669] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927140.220489297] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927141.221005732] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927142.220444264] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927143.220521840] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927144.220909890] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927145.220533149] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927146.220209491] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927147.220450489] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927148.220100351] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927149.220694805] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927150.220514941] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927151.220270861] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927152.220636482] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927153.220548402] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927154.221097922] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927155.220034983] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927156.220549246] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927157.220576646] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927158.220638664] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927159.220656043] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927160.220640035] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927161.221135032] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927162.220331726] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927163.221267923] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927164.221093155] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927165.220177902] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927166.220075858] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927167.220451988] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927168.220341866] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927169.220646972] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927170.220468851] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927171.220941338] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927172.220652298] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927173.220806458] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927174.220955763] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927175.220480629] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927176.220425050] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927177.220803583] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927178.221034846] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927179.220516716] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927180.220519491] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
[INFO] [1780927181.221052938] [py_dashboard_cli]: [Dashboard] Status: IDLE | Battery: 100.0% | Mode: TURBO
